MarketName;TimeStamp;Volume;Last;OpenSellOrders;OpenBuyOrders;Bid;Ask;
BTC-MANA;2017-12-14T16:11:00.197;275843886.933;0.000006880;2539;1239;0.000006870;0.000006880;
BTC-MANA;2017-12-14T16:11:13.23;276247992.018;0.000006850;2541;1187;0.000006820;0.000006850;
BTC-MANA;2017-12-14T16:16:12.28;276342923.992;0.000006880;2535;1256;0.000006860;0.000006880;
BTC-MANA;2017-12-14T16:21:22.503;276261528.96;0.000006920;2516;1258;0.000006930;0.000006960;
BTC-MANA;2017-12-14T16:26:24.6;277115399.255;0.000007110;2516;1232;0.000007100;0.000007110;
BTC-MANA;2017-12-14T16:31:26.62;277704196.289;0.000007120;2523;1284;0.000007030;0.000007120;
BTC-MANA;2017-12-14T16:36:22.373;278944221.107;0.000007170;2519;1299;0.000007150;0.000007180;
BTC-MANA;2017-12-14T16:41:26.75;279838609.69;0.000007210;2511;1262;0.000007190;0.000007200;
BTC-MANA;2017-12-14T16:46:26.16;279176120.994;0.000007350;2484;1328;0.000007350;0.000007360;
BTC-MANA;2017-12-14T16:51:29.383;279554612.654;0.000007670;2377;1306;0.000007670;0.000007700;
BTC-MANA;2017-12-14T16:56:23.857;280410985.836;0.000007550;2422;1343;0.000007550;0.000007590;
BTC-MANA;2017-12-14T17:01:27.453;280166401.135;0.000007720;2403;1338;0.000007730;0.000007740;
BTC-MANA;2017-12-14T17:06:32.363;281889456.137;0.000007900;2361;1358;0.000007920;0.000007930;
BTC-MANA;2017-12-14T17:11:35.32;283297519.022;0.000007700;2345;1338;0.000007690;0.000007750;
BTC-MANA;2017-12-14T17:16:33.153;283899739.602;0.000007790;2356;1328;0.000007750;0.000007790;
BTC-MANA;2017-12-14T17:21:30.407;283635733.914;0.000007580;2407;1295;0.000007510;0.000007580;
BTC-MANA;2017-12-14T17:26:33.41;284216917.898;0.000007370;2421;1321;0.000007340;0.000007350;
BTC-MANA;2017-12-14T17:31:33.947;283582578.625;0.000007430;2451;1330;0.000007430;0.000007440;
